row,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
272892,0.1062123246,0.1945897326,0.6991979428,0.0165953094,0.1582490307,0.8251556600
272916,0.1155859083,0.2142281085,0.6701859832,0.0172069742,0.1640817248,0.8187113010
273026,0.8230293393,0.1123472825,0.0646233782,0.8714701505,0.1063842551,0.0221455944
273063,0.4377222592,0.3528466172,0.2094311236,0.5747781592,0.2066195997,0.2186022411
273216,0.1598806804,0.3037461891,0.5363731304,0.0163626726,0.2224494978,0.7611878296
273221,0.3105404377,0.5056599379,0.1837996244,0.2996200427,0.6009973878,0.0993825695
273289,0.1942068934,0.3163881302,0.4894049764,0.0272853828,0.2506780677,0.7220365494
273354,0.1471166738,0.2584401331,0.5944431932,0.0174434852,0.1710895259,0.8114669889
273360,0.0949123299,0.1852873605,0.7198003095,0.0165222397,0.1469605071,0.8365172532
273448,0.1201574188,0.1986417294,0.6812008518,0.0168984363,0.1611395793,0.8219619844
273565,0.1597318053,0.2442246675,0.5960435271,0.0174434852,0.1710895259,0.8114669889
273787,0.1009378448,0.1386380663,0.7604240888,0.0167461900,0.1141035742,0.8691502358
273799,0.1328737179,0.1911307332,0.6759955488,0.0171583553,0.1582286093,0.8246130354
273860,0.0973385505,0.1549572956,0.7477041539,0.0164602960,0.1292277621,0.8543119419
273864,0.1291323434,0.3334138940,0.5374537626,0.0161017737,0.2348473515,0.7490508747
273906,0.1602935743,0.2220235699,0.6176828558,0.0174434852,0.1710895259,0.8114669889
274009,0.1195320618,0.1888105245,0.6916574137,0.0167287138,0.1514824605,0.8317888257
274089,0.2994104922,0.4226999581,0.2778895497,0.3009226238,0.4443779767,0.2546993995
274106,0.1594813639,0.1844108430,0.6561077931,0.0177259447,0.1576671124,0.8246069428
274147,0.0585023270,0.1006956089,0.8408020641,0.0130408152,0.1135001800,0.8734590048
274311,0.1964531839,0.4874043465,0.3161424696,0.0310016794,0.6095991807,0.3593991399
274342,0.2435596771,0.4841584933,0.2722818296,0.2016567997,0.5288879938,0.2694552065
274372,0.1794133309,0.4683869709,0.3521996982,0.0225201446,0.5878986664,0.3895811890
274377,0.1646753500,0.3344279726,0.5008966773,0.0161017737,0.2348473515,0.7490508747
274573,0.3657707816,0.4216976997,0.2125315187,0.3095087576,0.4389200848,0.2515711576
274683,0.1169920962,0.2949986524,0.5880092514,0.0169736062,0.1934180695,0.7896083243
274816,0.1469094880,0.4900101350,0.3630803769,0.0185112556,0.6099504769,0.3715382675
275044,0.1659969389,0.4777074158,0.3562956452,0.0194707659,0.5897326947,0.3907965394
275062,0.2221690416,0.4392729998,0.3385579586,0.0935233984,0.5448462775,0.3616303241
275074,0.2312832773,0.4754300714,0.2932866514,0.1571256895,0.5135139026,0.3293604079
275115,0.2717627585,0.4775491655,0.2506880760,0.2069873462,0.5253566027,0.2676560511
275200,0.1534869201,0.4081390439,0.4383740360,0.0160415428,0.4281966201,0.5557618371
275250,0.1436351069,0.5387898007,0.3175750924,0.0175450142,0.6416192833,0.3408357025
275418,0.1842464628,0.5241982859,0.2915552513,0.0215148163,0.6390266947,0.3394584890
275422,0.2752361555,0.5205798668,0.2041839778,0.1866500571,0.5719921105,0.2413578325
275510,0.1602943367,0.4632742634,0.3764313999,0.0188810556,0.5662810219,0.4148379224
275703,0.1886137007,0.4499092467,0.3614770526,0.0258932367,0.5778469690,0.3962597943
275770,0.1319859287,0.3237442874,0.5442697840,0.0161017737,0.2348473515,0.7490508747
275810,0.5846808044,0.2794269663,0.1358922293,0.7986806289,0.1585756004,0.0427437707
275970,0.2687180042,0.4870865643,0.2441954315,0.2069873462,0.5253566027,0.2676560511
276007,0.3031437397,0.3355045319,0.3613517284,0.3447212541,0.2757770033,0.3795017426
276082,0.5645239991,0.3309308315,0.1045451694,0.7416081187,0.2232630757,0.0351288056
276212,0.3206718862,0.3953674138,0.2839607000,0.3079427083,0.3639322917,0.3281250000
276406,0.2702504098,0.3896349967,0.3401145935,0.2255573364,0.4072563019,0.3671863616
276575,0.0351375339,0.0687593291,0.8961031370,0.0121348916,0.0495221487,0.9383429597
276627,0.1305432955,0.5500689909,0.3193877137,0.0167061375,0.6587544778,0.3245393847
276943,0.3671404531,0.3701674154,0.2626921315,0.3392442670,0.3850153189,0.2757404141
276971,0.6052310377,0.2559561393,0.1388128230,0.7954455819,0.1579332917,0.0466211263
