id,y,fold,raw_intact,raw_moderate,raw_severe,va_intact,va_moderate,va_severe
88,0,4,0.4938524067,0.3337318897,0.1724157035,0.6446712281,0.2528122463,0.1025165256
89,0,1,0.4155623019,0.3802458346,0.2041918635,0.5400179408,0.2785806837,0.1814013755
92,0,2,0.8660005557,0.0885869437,0.0454125006,0.8892906647,0.0881697101,0.0225396251
94,0,3,0.8630371818,0.0745141517,0.0624486664,0.8862610893,0.0862152744,0.0275236363
97,0,1,0.7327578609,0.1833897070,0.0838524320,0.8218669328,0.1467130775,0.0314199897
100,0,0,0.4990271554,0.3514846809,0.1494881637,0.6781290681,0.2482254506,0.0736454813
103,0,0,0.5334732016,0.2713222842,0.1952045142,0.6681538892,0.1566485195,0.1751975913
104,0,1,0.8778133727,0.0779345906,0.0442520367,0.8833934587,0.0934643459,0.0231421954
119,0,1,0.5561289108,0.2871182816,0.1567528075,0.7422432272,0.1542564954,0.1035002774
120,0,0,0.4792082083,0.3553636425,0.1654281492,0.6458325524,0.2697688754,0.0843985722
128,0,2,0.6261070464,0.2804195923,0.0934733613,0.8055893074,0.1579586877,0.0364520049
135,0,4,0.8606144030,0.0807735085,0.0586120885,0.8805937085,0.1076650421,0.0117412494
149,0,3,0.4632228911,0.3973304033,0.1394467056,0.6408191562,0.3148441512,0.0443366927
150,1,1,0.4072213708,0.4027591586,0.1900194706,0.5343887880,0.3460218589,0.1195893532
152,0,0,0.7585328334,0.1505686216,0.0908985450,0.8345440561,0.1230664046,0.0423895394
154,0,2,0.4766427946,0.3852208910,0.1381363144,0.5755265263,0.3760715661,0.0484019076
156,0,0,0.7041306987,0.1968764335,0.0989928678,0.7808866221,0.1723363647,0.0467770133
160,0,1,0.8585457270,0.0768378681,0.0646164050,0.8807073471,0.0909284872,0.0283641658
169,1,3,0.4643291831,0.3783630729,0.1573077440,0.6272751367,0.3081897694,0.0645350938
171,0,2,0.9656679088,0.0179945921,0.0163374991,0.9340212041,0.0446327149,0.0213460810
172,1,0,0.8356356212,0.0948800168,0.0694843621,0.8769606845,0.0896312895,0.0334080261
175,0,3,0.9391240951,0.0359001118,0.0249757931,0.9236300806,0.0526246503,0.0237452690
183,0,1,0.8138978481,0.1023486331,0.0837535188,0.8566631049,0.1117386659,0.0315982293
185,0,2,0.8989272151,0.0542167762,0.0468560086,0.9265579334,0.0501555577,0.0232865089
186,0,4,0.7823794964,0.1449537852,0.0726667185,0.8445087110,0.1424073513,0.0130839378
190,1,0,0.5997887343,0.2428428269,0.1573684388,0.7506895004,0.1669296389,0.0823808608
191,0,0,0.4689624379,0.3881540058,0.1428835562,0.6112170978,0.3164642738,0.0723186285
196,0,1,0.4613020718,0.3551868498,0.1835110784,0.6584334256,0.2221360549,0.1194305195
201,0,2,0.6553264661,0.1792266613,0.1654468725,0.8017203983,0.1231446960,0.0751349057
202,0,0,0.5730974845,0.2847699608,0.1421325547,0.7609097834,0.1692023071,0.0698879095
208,1,4,0.4933512248,0.4013285369,0.1053202384,0.6736614119,0.3087265250,0.0176120631
210,0,4,0.5212051713,0.2855105911,0.1932842376,0.6561021081,0.1574645060,0.1864333859
211,1,3,0.4297858179,0.3881401718,0.1820740104,0.6045177799,0.2970087356,0.0984734845
213,0,1,0.7611673957,0.1539084143,0.0849241900,0.8553580940,0.1123432279,0.0322986780
214,0,3,0.8942792616,0.0576273402,0.0480933982,0.9208144796,0.0527903469,0.0263951735
230,0,4,0.4994133934,0.2602817973,0.2403048092,0.6185012549,0.1484403012,0.2330584439
231,0,2,0.8997244239,0.0581171587,0.0421584174,0.9268118418,0.0501693020,0.0230188562
237,2,3,0.2440452165,0.4864197148,0.2695350687,0.1684082109,0.5688749801,0.2627168090
241,1,3,0.3287399015,0.5063278524,0.1649322461,0.3460876260,0.5790201862,0.0748921878
246,2,0,0.1739246547,0.4146348834,0.4114404619,0.0220827850,0.4929124507,0.4850047643
250,1,1,0.2200415647,0.6327037404,0.1472546949,0.0987957860,0.7957313414,0.1054728726
259,2,4,0.2095457911,0.5470963717,0.2433578372,0.0526353052,0.6392055145,0.3081591803
260,2,0,0.1186372572,0.6877876571,0.1935750857,0.0150203455,0.7668145339,0.2181651206
262,2,3,0.2808602410,0.5579374349,0.1612023240,0.1848728464,0.7327070611,0.0824200925
265,2,0,0.2399415076,0.4489730000,0.3110854924,0.1938539255,0.4830561987,0.3230898758
271,2,2,0.3585743660,0.4134894373,0.2279361967,0.3066821781,0.4424662081,0.2508516138
273,2,4,0.1816466654,0.7144246910,0.1039286436,0.0299869637,0.9460210578,0.0239919785
278,2,1,0.0886052604,0.6804676500,0.2309270897,0.0188881203,0.7468406198,0.2342712599
280,2,1,0.2352267206,0.5357936025,0.2289796770,0.1588050958,0.6403332144,0.2008616898
281,2,2,0.2144641695,0.4868848549,0.2986509755,0.0656421722,0.5569675176,0.3773903102
282,1,0,0.1254642438,0.5568579352,0.3176778210,0.0141809420,0.6525669200,0.3332521380
284,1,2,0.2367159654,0.4707458773,0.2925381573,0.1645865612,0.4932552480,0.3421581909
286,0,0,0.1132812334,0.7433895954,0.1433291712,0.0173862123,0.8875961156,0.0950176720
287,2,1,0.3040808990,0.4624816408,0.2334374602,0.2570851774,0.5208478919,0.2220669307
289,0,2,0.3478831247,0.3937860014,0.2583308739,0.3109224927,0.4210408756,0.2680366317
291,1,1,0.2557922900,0.4294096529,0.3147980571,0.2473326867,0.4616876819,0.2909796314
292,1,3,0.1449037747,0.5312706670,0.3238255583,0.0186859415,0.6515621493,0.3297519092
293,2,1,0.1320102215,0.5231761932,0.3448135853,0.0191995638,0.7022185297,0.2785819065
299,1,0,0.2027998536,0.6012551695,0.1959449769,0.0429013510,0.7404921126,0.2166065363
302,0,2,0.2383110339,0.5432103195,0.2184786466,0.1592289081,0.5729658601,0.2678052318
308,2,3,0.3868152442,0.4100463925,0.2031383633,0.3742946058,0.4131578562,0.2125475380
310,2,4,0.1085473514,0.6577265810,0.2337260676,0.0201646764,0.7100962461,0.2697390775
311,1,1,0.2229359978,0.5845762913,0.1924877109,0.1236841804,0.7248421016,0.1514737179
314,1,3,0.2524158917,0.6011764318,0.1464076765,0.1768248175,0.7538321168,0.0693430657
315,2,1,0.1900160490,0.5257364590,0.2842474920,0.0303001226,0.7315279777,0.2381718997
317,2,2,0.3473785766,0.4758875001,0.1767339233,0.3688841255,0.5376486129,0.0934672615
325,2,3,0.1282527615,0.4732491147,0.3984981239,0.0155383271,0.5248773494,0.4595843235
326,1,2,0.2276000679,0.4581527710,0.3142471611,0.1246266352,0.5168488871,0.3585244777
331,2,2,0.3965904117,0.3975953162,0.2058142722,0.4109140424,0.3672544254,0.2218315321
332,2,0,0.2628656406,0.4252174921,0.3119168673,0.2084468665,0.4711625795,0.3203905540
337,2,1,0.1610494602,0.5555356907,0.2834148491,0.0202090592,0.7391405343,0.2406504065
339,1,0,0.2201165259,0.4644976854,0.3153857887,0.0788194527,0.5557960844,0.3653844629
343,2,2,0.2089392723,0.4344327217,0.3566280061,0.0530702177,0.5571294548,0.3898003275
348,2,3,0.2965456843,0.4105781615,0.2928761542,0.3103924180,0.4237347793,0.2658728027
350,1,3,0.2176518207,0.5529972480,0.2293509313,0.0747960044,0.6550709973,0.2701329982
354,2,1,0.2428641206,0.5481347523,0.2090011270,0.1800777280,0.6241400909,0.1957821810
355,1,2,0.1547071212,0.5257613141,0.3195315647,0.0222806665,0.6196996042,0.3580197293
360,2,1,0.1931243539,0.4346374869,0.3722381592,0.0382853716,0.5632583951,0.3984562333
369,2,0,0.1184687549,0.6257848786,0.2557463665,0.0143481840,0.7324995294,0.2531522866
373,1,4,0.3609972298,0.4084234834,0.2305792868,0.3673257309,0.3471982935,0.2854759756
376,1,1,0.2487729713,0.5148067628,0.2364202659,0.1857797311,0.6197996201,0.1944206488
384,1,0,0.1638971692,0.5483316697,0.2877711611,0.0183540605,0.6414403189,0.3402056207
385,0,1,0.3522979372,0.5494149409,0.0982871219,0.2560624002,0.7051176440,0.0388199557
391,1,4,0.2954069376,0.5376454592,0.1669476032,0.2927650028,0.5945437064,0.1126912908
393,2,1,0.2700833896,0.4307090214,0.2992075891,0.2473326867,0.4616876819,0.2909796314
396,1,0,0.2615812499,0.5355657499,0.2028530002,0.2048812687,0.5668381768,0.2282805545
397,1,1,0.2861164510,0.4352868795,0.2785966694,0.2645819549,0.4896533412,0.2457647038
399,2,2,0.3225446891,0.4582245580,0.2192307529,0.3053012801,0.4449766158,0.2497221041
400,1,1,0.2895810220,0.5335267027,0.1768922753,0.2309551233,0.6539857120,0.1150591647
405,2,3,0.2123429658,0.4429344899,0.3447225443,0.0681355547,0.5707051077,0.3611593376
408,0,1,0.2440656126,0.5795476437,0.1763867438,0.1979200489,0.6859806524,0.1160992987
409,0,1,0.2954428748,0.5235347670,0.1810223582,0.2329091332,0.6523240475,0.1147668193
411,0,0,0.4075505435,0.4233913720,0.1690580845,0.5007421384,0.4206289308,0.0786289308
