"id","y","fold","va_intact","va_moderate","va_severe"
307,0,4,0.207920962990241,0.371616645185049,0.42046239182471
313,1,4,0.36732573085022,0.347198293543359,0.285475975606421
321,1,4,0.0305786772520061,0.65408755339856,0.315333769349434
323,1,4,0.027678983594124,0.656044033502498,0.316276982903378
328,1,4,0.0212068685336656,0.588429662531824,0.390363468934511
342,1,2,0.090249467925103,0.534906756312844,0.374843775762053
345,1,2,0.019742002734048,0.457314280399613,0.522943716866339
352,1,2,0.0201692104895096,0.705319000145347,0.274511789365143
356,1,0,0.0221092098773847,0.558013206111926,0.419877584010689
359,0,0,0.199669086251067,0.722939795046968,0.0773911187019641
364,1,4,0.283562972096197,0.334414690496427,0.382022337407376
365,1,2,0.0203239000468552,0.715465399344027,0.264210700609118
366,1,4,0.0321798496310068,0.802788671210028,0.165031479158965
367,1,4,0.164780623386937,0.637482628548739,0.197736748064324
378,2,1,0.104866242038217,0.40687898089172,0.488254777070064
379,1,3,0.542298394528564,0.422736543766361,0.0349650617050744
380,1,2,0.223493758265271,0.698983121151809,0.0775231205829194
381,1,3,0.0333837996312026,0.591988250557806,0.374627949810991
382,1,1,0.285209873637132,0.391981682198992,0.322808444163876
388,0,2,0.430463139557701,0.485189353366803,0.0843475070754955
390,0,2,0.302135548994026,0.440362562658793,0.257501888347181
395,1,3,0.396471863391797,0.263922271957285,0.339605864650918
406,1,1,0.185779731088681,0.619799620097583,0.194420648813736
413,1,3,0.015169887501911,0.452034063650484,0.532796048847605
417,1,4,0.02316506708454,0.482337580983152,0.494497351932308
418,1,0,0.0464463230981593,0.538398194280704,0.415155482621137
421,1,2,0.368884125520301,0.537648612945839,0.0934672615338601
422,1,4,0.0212183249551054,0.957679297220691,0.0211023778242032
426,1,1,0.2529677487131,0.528521903561298,0.218510347725601
427,1,4,0.0220442036711524,0.486931965536121,0.491023830792727
431,0,4,0.568827900938799,0.310213093871879,0.120959005189323
436,1,2,0.063077574246949,0.627707103722341,0.30921532203071
439,1,0,0.29191414077591,0.654125972595815,0.0539598866282743
443,0,0,0.456299100212336,0.458643397060146,0.085057502727518
447,1,3,0.025540743299036,0.474965266996122,0.499493989704842
448,1,2,0.0222806664977414,0.619699604190513,0.358019729311746
452,1,2,0.0368241864011153,0.69554450309643,0.267631310502455
457,1,1,0.0203883653882836,0.745698605350788,0.233913029260929
459,1,0,0.0171054748243874,0.873263981982948,0.109630543192664
461,1,1,0.104043243380904,0.761909915989928,0.134046840629168
464,1,1,0.0452684878127281,0.828069273722834,0.126662238464437
465,1,1,0.0202090592334495,0.739140534262485,0.240650406504065
466,1,4,0.190447400241838,0.424425634824667,0.385126964933495
469,1,4,0.298820566373856,0.327292831254991,0.373886602371153
477,0,3,0.0170505950309695,0.945438095900898,0.0375113090681328
479,1,0,0.354566462964554,0.324735149974748,0.320698387060697
491,1,4,0.207920962990241,0.371616645185049,0.42046239182471
502,1,3,0.0188270223143806,0.648931407431843,0.332241570253776
504,1,0,0.205567081604426,0.744294605809129,0.0501383125864454
505,1,4,0.181230301054233,0.552439952179111,0.266329746766656
506,1,1,0.0384747050155077,0.73193094706724,0.229594347917252
513,1,4,0.0203218376962563,0.184115849528082,0.795562312775662
517,2,2,0.02109122317744,0.112998944001192,0.865909832821368
520,2,0,0.022626605453618,0.343153041345438,0.634220353200944
521,2,2,0.0177950446494965,0.104957348845592,0.877247606504911
524,2,0,0.0127554404705166,0.286127721463633,0.701116838065851
525,2,4,0.0164366016792372,0.137469759499075,0.846093638821688
526,1,4,0.0313407858370331,0.393069806526093,0.575589407636874
528,2,3,0.0160885135496285,0.220642471537763,0.763269014912609
529,2,0,0.0102516309412861,0.0465983224603914,0.943150046598322
538,2,0,0.0116765949367518,0.0985390694662467,0.889784335597002
541,2,1,0.0138821372776761,0.0469194717292,0.939198390993124
542,1,3,0.0181451559813249,0.121014885834889,0.860839958183786
545,1,2,0.0188967380378852,0.222285313235123,0.758817948726992
553,1,1,0.0205025370407956,0.117270550030444,0.86222691292876
563,2,2,0.0188967380378852,0.222285313235123,0.758817948726992
564,2,0,0.0121629925764778,0.0984905740339179,0.889346433389604
565,2,0,0.0143264633636757,0.0985381138672326,0.887135422769092
